

  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.58, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.58, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.58, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.58, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.58, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.58, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.04
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.01, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
  q0:1.00, q1:0.00, q2:0.01, q3:-0.00 |Roll:0.02, Pitch:0.59, Yaw:-0.05
